bukrs	butxt	swerk	name1	stort	ktext	wapinr	stat_sys	stat_cus	priokx	tplnr	pltxt	tsdate	tstime	tfdate	tftime	txt_short	txt_long
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020700	Называевский РЭС                        	100000032154	ПОДГ ЗАКР                               	РАСС                                    	Плановая            	PS110-000640-01               	Силовой трансформатор 1Т                	20140515	090000	21040515	190000	1. Опробование ОД-110 1Т, КЗ-110 1Т.    	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020700	Называевский РЭС                        	100000032155	ПОДГ ЗАКР                               	РАЗР                                    	Плановая            	PS035-000783-01               	Силовой трансформатор 1Т                	20140507	090000	21040507	180000	Отбор проб масла из бака В-35 1Т        	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020700	Называевский РЭС                        	100000032412	ПОДГ ЗАКР                               	РАЗР                                    	Плановая            	PS110-000644-01               	Силовой трансформатор 1Т                	20140506	130000	21040506	180000	Отбор проб масла из бака                	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020700	Называевский РЭС                        	100000032413	ПОДГ ЗАКР                               	РАЗР                                    	Плановая            	PS035-000783                  	ПС "Искра" 35/10                        	20140508	080000	21040508	150000	Благоустройство территории на подстанции	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020700	Называевский РЭС                        	100000032415	ПОДГ ЗАКР                               	РАЗР                                    	Плановая            	PS110-000640                  	ПС "Жирновская" 110/10                  	20140515	090000	21040515	190000	Благоустройство территории на подстанции	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
5500 	Ф-л Омскэнерго           	5520	Западные э/с                  	5520020700	Называевский РЭС                        	100000032416	ПОДГ ЗАКР                               	РАЗР                                    	Плановая            	PS110-000643                  	ПС "Путиловская" 110/10                 	20140516	090000	21040516	190000	Благоустройство территории на подстанции	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
7500 	Ф-л Читаэнерго           	7520	Городские э/с                 	7520020100	Центральный РЭС                         	100000248746	ПОДГ ЗАКР                               	РАЗР                                    	Неплановая          	RP006-0000057                 	РП-02                                   	20151202	093000	22011202	180000	ВЛ0,4 кВ Перенос п/у на фасад дома      	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
4200 	Ф-л Кузбассэнерго        	4230	Южные э/с                     	4230020200	Мысковский РЭС                          	100000126061	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Неплановая          	PS110-001197-15-04-003        	Ф-6-4-5(Резерв)                         	20150309	100000	22010318	150000	Вывод в ремонт Ф.6-4-5                  	* 21.02.2015 07:36:03 Д. Шанин (SHANIN_DN) Тел. 20527 31623 * Заявка потребителя ОАО ш.Распадская потребителей * Физичечких лиц на линии нет *                                                                                                                                                                                                                                                                                                                                                                      
2200 	Ф-л Алтайэнерго          	2260	Северо-Восточные Э/С          	2260020400	Кытмановский РЭС                        	100000295603	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	VS010-0000394                 	Л-8-11 с.Дмитро-Титово                  	20160420	090000	21160420	173000	Для ревизии грозозащиты со сня-ем с оп. 	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2200 	Ф-л Алтайэнерго          	2260	Северо-Восточные Э/С          	2260020400	Кытмановский РЭС                        	100000295605	ПОДГ ЗАКР                               	РАЗР СНЯТ                               	Плановая            	VS010-0000395                 	Л-8-12 с.Комарское                      	20160420	090000	21160420	173000	Для ревизии грозозащиты со сня-ем с оп. 	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2200 	Ф-л Алтайэнерго          	2230	Западные Э/С                  	2230020100	Волчихинский РЭС                        	100000465993	ПОДГ ЗАКР                               	РАСС СНЯТ                               	Плановая            	VN004-00004573                	ВЛ-0,4 кВ ф.1 от ТП-43-3-2              	20170518	090000	22070518	173000	Уст. доп. оп. в негаб. пролете          	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
4200 	Ф-л Кузбассэнерго        	4230	Южные э/с                     	4230020500	Прокопьевский РЭС                       	100000094341	ПОДГ ЗАКР                               	РАЗР                                    	Неплановая          	RZ035-000655-210-003          	МФО,МТЗ, упр. выкл Ф-6-20-Ш             	20141020	093000	21401020	140000	Прозвонка токовых цепей-отмена          	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
4200 	Ф-л Кузбассэнерго        	4230	Южные э/с                     	4230020500	Прокопьевский РЭС                       	100000652831	ПОДГ                                    	РАСС                                    	Плановая            	RZ110-000566-101-003          	АПВ, упр. выкл ввода 110кВ - Ускат.     	20180528	080000	22080601	200000	Профилактический контроль АПВ           	* 25.05.2018 08:27:27 UTC+7 М. Верещагин (VERESCHAGINM) Тел. (38434)6-02.. * Ответственный Верещагин М. В.                                                                                                                                                                                                                                                                                                                                                                                                          
0300 	Ф-л Бурятэнерго          	0330	Южные Э/С                     	0330020200	Гусиноозерский РЭС                      	100001106868	РИЗМ ОТКЛ                               	РАСС                                    	Плановая            	PS035-000083                  	ПС "Харгана"                            	20210616	050000	22020616	200000	1СШ-10кВ текущий ремонт                 	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
